start|end|text
128.0|130.0| 아, 9월달이 굉장히 좋네요
130.0|132.0| 아 9월이 좋아요?
132.0|137.86| 응 그래서 제가 이제 좀 돈 욕심이 좀 많아가지고
137.86|141.24| 지금 일을 이제 그만두고 공부를 하다 보니까
141.24|145.5| 일을 안 했을 때 공부하기 좀 되게 불안하고
145.5|147.46| 수중에 돈이 없는 걸 안 좋아해서
147.46|171.0| 혹시 취업이 된다고 하면은 재물운이 좀 괜찮을까요? 괜찮아 올해는 재물이 좀 음 아, 돈 들어와요? 아 그렇군요. 돈은 괜찮게 들어와서 쓸 수 있다.
171.0|173.0| 아 그렇구나.
173.0|175.0| 혹시 연애 운도 괜찮을까요?
175.0|176.1| 제가 연애를 안 한지
176.1|177.26| 좀 오래되가지고
177.26|180.12| 요즘 따라 그냥 가끔가다 연애하고
180.12|181.98| 싶다는 생각이 드는데 남자가
181.98|188.4| 오래 들어오나요? 남자 친구가 네가 빠르면 살달, 늦으면 여름에 들어온다.
188.78|204.32| 빠르면 봄에 들어올 수 있는데 사흘달에 늦으면 7일에 들어올 수가 있다. 남자는 들어와, 내 친구가. 연애는 하루는 들어와있어서 있다지 보면은. 아 그러면 혹시 약간 들어온다면 어떤 상에 남자가 좀 들어올까요?
204.6|209.0| 약간 연상연하나 동갑이나 아니면 성격 같은 게 혹시 나오나요?
209.0|211.0| 아니 조금 연상으로 보이는데
211.0|212.0| 아 그래요?
214.0|216.0| 연상으로 보이고
217.0|226.0| 네 어 조금 자기가 뭔가 일을 하는 게 보이거든.
227.0|229.0| 약간 사업하는 것처럼요?
238.0|239.0| 자기 자신이 뭔가를 하고 있는 것처럼 보이고, 영상이라 보여지고, 어, 뭔가 하고 있다, 지금 보면은 아 그래요?
240.0|242.28| 아 저 그리고 요즘에
242.28|244.34| 병원을 좀 자주 다녀가지고
244.34|246.16| 올해 건강이 좀
246.16|247.42| 괜찮을까요?
252.64|254.0| 뭐 올해 네가 좀 병원을 상반기는 다녀도 이제 조금 있으면 괜찮아진다 나쁘진 않다 네 네
254.0|255.0| 네
255.0|256.0| 네
256.0|257.0| 네
257.0|258.0| 네
258.0|259.0| 네
259.0|260.0| 네 네 네..
260.0|261.0|.
261.0|262.0|.
262.0|263.0|.
263.0|264.0|.
264.0|265.0|.
265.0|266.0|... 사는 거지만 괜찮아진다.
266.0|268.0| 아 그렇구나.
268.0|270.0| 어 그러면 저 취업도 괜찮고
270.0|272.0| 학업도 괜찮은 편인가요?
272.0|274.0| 어, 나쁘지, 오래 나쁘지 않아
274.0|277.0| 아, 근데 제가 예전에 사주 봤을 때
277.0|278.02| 저보고 이제 막
278.02|279.48| 칼 잡는 직업을 해라
279.48|281.0| 막 이런 식으로 떴었는데
281.82|286.0| 이게 제가 지금 이 직업이 저랑 잘 맞을까요?
287.0|289.0| 나쁘진 않지, IT가.
290.0|294.0| 저랑 괜찮은 편이에요?
294.0|296.0| 응 나쁘지 않다
296.0|298.0| 아
298.0|300.0| 그렇구나
300.0|301.0| 그러면은
301.0|307.0| 이거를 계속 갔을 때 이걸로 계속 일해도 저는 괜찮게 잘 살 그런 건가요?
307.0|310.76| 이게 계속 지속으로 간다 보이시고 그런 건가요 아 그래요
310.76|311.98| 아
311.98|314.0| 아..
314.0|315.0|.
315.0|316.0|.
316.0|317.0|.
317.0|318.0|.
318.0|319.0|.
319.0|326.0|... 아 글 쓰는 거는 약간 서브로 잡으라는 소리도 들은 적 있어가지고
326.0|328.0| 그 그런데 니가 쳐다보면
328.0|330.0| 추세를 하면 업으로 당연히 되는 거지
330.0|332.0| 니가 가기 싫어도
332.0|333.0| 업으로 가는거지
333.0|335.38| 아 그렇게
335.38|336.0| 아
336.0|344.0| 운 따라주는 운이 좀 괜찮은 편인가요?
352.0|358.0| 재작년이랑 장전에 힘들었어가지고 아 올해는 좀 괜찮군요.
361.0|362.0| 아, 다행이다
362.0|364.0| 아 저 그
364.0|366.0| 근데 이거 조금
366.0|368.22| 좀 너무 미래긴 한데
368.22|370.36| 저 결혼을 좀 하고 싶은데
370.36|373.0| 정관훈 같은 거는
373.64|380.0| 이게 막 들어온다고 하더라고요 남편은 언제쯤 만나는 게 좋을까요?
382.0|385.0| 결론은 네가 시기적으로 보면
385.0|388.44| 내년에 만나는 남자가 굉장히 니가 좋아 사실은
388.44|400.0| 내년에 26세에 만나야 니가 앞으로 결혼까지 갈 수 30살 이후에 하는 게 제일 좋나요?
400.0|402.0| 어, 수준 넘어서
402.0|404.0| 네, 20대 때는 하지 말라고 하더라고요.
404.0|406.0| 어, 수준이 딱 넘으면
406.0|408.0| 그때는 수준이 하든 수준이 하든
408.0|411.0| 수준이 하든 수준이 하든 수준이 하든 상관이 없다고 보이시거든
411.0|413.0| 그러면 내년에
413.0|419.0| 그러면 내년에 그러면 내년에 남자가 올해 남자보다 그러면 더
419.0|422.0| 그러면 그 친구하고 연애를 하다 계속까지 간다..
422.0|423.0|.
423.0|424.0|.
424.0|425.0|.
425.0|426.0|.
426.0|427.0|.
427.0|428.0|... 5
428.0|433.0| 그러면 혹시 그 외국 인도 가능한가요
433.0|436.0| 꽃이 뭐 외국이나 한국이나 그런 거 요즘 없잖아.
436.0|437.0| 그쵸 그쵸.
437.0|440.0| 뭐 그런 거는 상관없다.
440.0|444.0| 근데 제가 취업을 해외로도 좀 하고 싶어하는 편인데
444.0|446.34| 이건 좀 괜찮을까요? 네가 물건로 가는 것도 내는 괜찮을까요?
446.34|448.8| 어 니가 물건로 가는 것도 니는 괜찮아
448.8|450.1| 아 그래요?
450.1|451.4| 어
451.4|452.0| 오 다행이다
454.0|456.0| 해외 취업 괜찮은 편이에요?
457.0|460.0| 어느 쪽에서 하는 게 제일 베스트일까요?
461.0|462.0| 네가?
466.48|470.0| 그 나라를 말하는 거야 네네 약간 대륙 쪽 미국이나 유럽이나 아니면은
470.0|472.0| 중국, 일본 이렇게
472.0|474.0| 아, 중국, 일본 안 되니 하고
474.0|476.0| 유럽 쪽으로 가야 돼 아, 유럽이요?
479.0|481.0| 아 전 유럽이 잘 맞아요?
482.0|483.0| 아 약간 그래도 미국? 전 유럽이 잘 맞아요? 어어
483.0|484.0| 아 약간 그래도 미국
484.0|486.0| 니가 글도 써야되고 하니까
486.0|487.0| 아
487.0|488.0| 이거는 무조건이야 아 미국..
488.0|489.0|.
489.0|490.0|.
490.0|491.0|.
491.0|492.0|.
492.0|493.0|.
493.0|494.0|... 아, 너는 유럽 쪽으로 와야지.
494.0|497.0| 아, 그렇구나. 네, 알겠습니다.
497.0|499.0| 응, 응. 그래.
499.0|502.0| 아, 네. 이도면 된 것 같아요
504.0|506.02| 감사합니다 아 그래 그래 감사합니다.
507.6|508.02| 어 그래 그래 어.
508.26|| 네.
